
COPY ss_cat_neighbor_store (store_id, store_desc, area_id) FROM stdin;
546	ECATEPEC	K1303
547	CHAPULTEPEC	K1102
548	PERINORTE	K1304
549	LOPEZ PORTILLO	K1302
550	FLORES MAGON	K1104
551	CELAYA	K3107
562	ACAPULCO I	K1604
565	VERACRUZ	K1701
567	CAMELINAS-MORELIA I	K3108
568	CUERNAVACA PLAN DE AYALA	K1606
569	CONSTITUYENTES-QRO I	K3107
570	CUERNAVACA MORELOS	K1606
571	PIPILA-MORELIA II	K3108
572	CENTRO-MORELIA III	K3108
573	BOULEVARES-QRO II	K3107
575	ACAPULCO IV	K1604
577	VERACRUZ II	K1701
579	TANGAMANGA	K3107
580	PLAZA DEL SOL-QRO III	K3107
581	SALAMANCA	K3107
582	KFC QUERETARO ZARAGOZA	K5101
583	KFC SAN LUIS RIO COLORADO	K4403
599	KFC CAPACITACION	K6101
603	COUNTRY	P2701
604	ANAHUAC	P2105
606	MADERO	P2103
607	MADERO	K2105
608	PADRE MIER	K2106
609	GONZALITOS	K2109
610	RUPERTO MARTINEZ	K2105
611	SORIANA FE	K2101
613	VASCONCELOS	K2106
614	COLON	K2105
615	PABLO LIVAS	K2103
617	BENITO JUAREZ	K2103
618	FELIX GALVAN	K2101
619	KFC ESCOBEDO MTY.	K2102
621	TECNOLOGICO	K2106
622	SANTA CATARINA MTY.	K2104
623	ALAMEDA	K2105
624	LINDAVISTA	K2109
625	CONTRY	K2106
627	FELIX U. GOMEZ	K2101
628	KFC LINCON MTY.	K2104
629	KFC SENDERO MTY.	K2102
630	KFC SOLIDARIDAD MTY.	K2104
632	SAN AGUSTIN	K2106
633	ANAHUAC	K2102
634	REVOLUCION	K2106
635	ARRAMBERRI	K2701
636	MITRAS	K2105
637	KFC TORRE MOLINOS MTY.	K2101
638	KFC ELOY CABAZOS MTY.	K2103
639	KFC TRIUNFADORES	K5101
640	KFC SALTILLO FUNDADORES	K2107
641	SALTILLO MULTIMARCA	K2107
642	SALTILLO II	K2107
643	CHIHUAHUA UNIVERSIDAD	K4102
647	JUAREZ I	K4101
648	LAREDO I	K2106
649	JUAREZ II	K4101
651	LAREDO II	K2701
652	REYNOSA	K2701
653	CD. VICTORIA	K2108
655	LA SIERRA	K4102
656	PLAZA LIBERTAD	K4102
657	PLAZA HOLLYWOOD	K4102
658	PLAZA VALLARTA	K4102
659	ORTIZ MENA	K4701
660	TAMPICO II	K2108
661	KFC ARCINIEGA CD JUAREZ.	K4101
662	KFC CARLOS AMAYA. CD. JUAREZ	K4101
663	KFC LOMAS DE SAN JOSÈ. CD JU·REZ	K4101
664	KFC DEL RIO PLAZA. REYNOSA	K2109
665	KFC ENCINAS HILLO	K4105
666	LOURDES	K2107
667	KFC CARRETERA NACIONAL	K5101
668	KFC CENTRO MEDICO. MTY	K2103
669	KFC PLAZA SENDERO	K2102
670	KFC CHAPULTEPEC. MTY	K2103
671	SAN SEBASTIAN KFC MTY	K2103
672	KFC SANTA MARIA MTY	K5101
673	RUIZ CORTINES	K2109
674	KFC EXPOSICIÛN	K2103
675	PORTALES	K2104
676	AZTLAN	K2104
677	TAMPICO CENTRO	K2108
678	TAMPICO MADERO	K2108
679	KFC MIGUEL ALEMAN	K5101
680	KFC EL ARCO MTY	K5101
681	KFC TAMPICO ZONA DORADA	K2108
701	PLAZA DEL SOL	P3101
702	PLAZA REVOLUCION	P3103
704	PLAZA MEXICO	P3101
705	PUERTO VALLARTA	P3103
708	CIRCUNVALACION	P3102
709	CIRCUNVALACION	K3102
710	PLAZA BONITA	K3101
711	PLAZA UNIVERSIDAD	K3102
712	PLAZA LAS AGUILAS	K3101
713	PLAZA INDEPENDENCIA	K3103
714	CORDILLERAS	K3104
715	BELISARIO	K3102
717	SAN PEDRO GDL KFC	K3103
718	8 DE JULIO MODIF	K3104
719	ACUEDUCTO   GDL KFC	K3101
722	ZACATECAS	K3106
723	KFC TLAQUEPAQUE. GDL.	K3104
733	ALCALDE	K3103
734	NINOS HEROES	K3101
735	PLAZA PATRIA	K3102
736	JUAREZ	K3104
737	PLAZA DEL SOL	K3101
738	INDEPENDENCIA	K3104
739	REVOLUCION GUADALAJARA	K3103
740	RIO NILO KFC GUADALAJARA	K3102
741	KFC MIRAVALLE. GDL	K3102
742	KFC TONALA. GDL.	K3101
743	KFC SAN ISIDRO	K5101
744	KFC ARBOLEDAS. GDL.	K3104
745	CATEDRAL GDL	K3103
746	KFC OBLATOS. GDL.	K3101
747	KFC BELENES. GDL.	K3103
748	KFC EL ZAUZ. GDL	K3104
749	KFC EXPIATORIO (GDL)	K5101
750	KFC JAVIER MINA	K5101
751	KFC EL ALAMO GDL	K5101
752	EL ALAMO	K3109
753	TEPATITLAN KFC	K3103
754	LAGOS DE MORENO	K3106
755	CD. GUZMAN	K3102
760	IRAPUATO	K3105
761	LEON CAMPESTRE	K3105
762	AGUASCALIENTES AMERICAS	K3701
763	AGUASCALIENTES SAN MARCOS	K3106
764	JAIME NUNO	P3701
765	LEON CENTRO	K3105
766	LEON LOPEZ MATEOS	K3701
767	KFC AGS. III CENTRO	K3106
768	KFC LEON LA GRAN PLAZA	K3105
769	KFC HEROES MEXICANOS	K5101
770	KFC LEON PLAZA OBELISCOS	K3105
771	KFC AGS. SANTA ANITA	K3106
772	IRAPUATO CIBELES	K3105
773	MARIANO ESCOBEDO KFC	K3105
774	VILLA ASUNCIÛN	K3106
775	EJERCITO MEXICANO	K3109
776	TRES RIOS	K3109
801	TIJUANA I PALMAS	K4103
802	TIJUANA II PLAYAS	K4104
803	TIJUANA III REVOLUCION	K4103
804	MEXICALI	K4403
805	HERMOSILLO	K4105
